title,status,raw price,course_url,course_image_url,subtitle,instructor,instructor_image_url,instructor_bio,short_description,long_description,faqs,airtable duration string,school
Aws Serverless Apis & Apps - A Complete Introduction,,$29,https://academind.teachable.com/p/aws-serverless-apis-apps-a-complete-introduction,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/qjluirlZT1KKKOFAWfBA,"Get Into Serverless Computing With Api Gateway, Aws Lambda And Other Amazon Web Services! Zero Server Config Apis & Spas",Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.","Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs &amp; SPAs","Serverless computing will shape the future of web development since it allows you to get rid of many issues ""traditional"" web hosting poses.

Now's the time to dive into this exciting new technology!

Unlike in traditional web hosting, where you spin up servers, configure them and then deploy your code, in serverless applications, you don't manage any servers! Instead, you only provide your code and define when it should get executed. Done!

Without managing any servers, you typically pay way less (since you got no overhead capacity), can react much better to incoming traffic spikes and don't have to worry about server security!

For these very reasons, it's no wonder that serverless computing is on the rise, with more and more companies adopting it! Learn it now to gain an edge and either use it for your own projects or apply for high-paid jobs!What does this course offer then?

This course will introduce you to serverless computing and then quickly dive into how to build serverless apps with Amazon Web Services (AWS).

Specifically, you will learn:



how you can build a REST API without worrying about servers, using AWS API Gateway
to set up your on-demand code via AWS Lambda 
how to execute that Lambda code whenever incoming requests reach your defined REST endpoints
how you can store data in a database - naturally without managing any database servers!

We won't stop there though! Instead, you'll then dive even deeper into serverless computing and learn:


how you can add user authentication to your existing frontend apps and how you can then also protect your REST API against unauthenticated access with ease!
how you can easily integrate a complete user sign up & sign in flow (including user confirmation) into ANY app (web app, iOS or Android app!) with AWS Cognito

how to deploy your web app in a serverless manner
how to speed up the delivery of your static web app assets
how to secure your serverless app

what else you can build with the services covered in this course and which other services might be interesting to you
where to dive deeper regarding advanced development workflows 

and much more!Is this course for you?

Now that you know what this course offers, is it the right choice for you? Which skills should you bring?

This course is absolutely the right choice for you if you're interested in providing great web applications without worrying about the provisioning of servers.

It's also the right choice if you already got experience as a system administrator but are interested in keeping up with the latest developments and the many new possibilities serverless computing offers.

You will need some basic AWS knowledge, or the willingness to dive deeper into AWS alongside taking this course. Additionally, a credit card is required for signing up to AWS.

Finally, you should be familiar with APIs and SPAs (Single-Page-Applications) and which role they play in today's web development environment. You don't need to know how to create them though.

I'd be very happy to welcome you on board!8+
hours



140+
lessonsCourse Prerequisites

Basic web development knowledge (i.e. how the web works) is required


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",7:39:36,Academind
"React, Nodejs, Express & Mongodb - The Mern Fullstack Guide",,$34,https://academind.teachable.com/p/react-nodejs-express-mongodb-the-mern-fullstack-guide,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/r3xxa4FnQRibIh0thFL2,"Build Fullstack React.Js Applications With Node.Js, Express.Js & Mongodb (Mern) With This Project-Focused Course.",Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.","Build fullstack React.js applications with Node.js, Express.js &amp; MongoDB (MERN) with this project-focused course.","Building fullstack applications (i.e. frontend + backend) with the MERN stack is very popular - in this course, you will learn it from scratch at the example of a complete project!

MERN stands for MongoDB, Express.js, React.js and Node.js - and combined, these four technologies allow you to build amazing web applications.In this course, we'll build an entire project and you will learn how these different technologies work together step by step. We'll first have a look at all the individual building blocks, so that we then can also combine them all into one amazing application by the end of the course.

This course also doesn't stop after the basics - instead, you'll also learn how to add file upload, authentication, authorization and how to deploy your application in different ways to different hosting services.

This course is taught by two instructors - Max (React.js, Node/ Express) and Manuel (MongoDB) who have years of experience of working with these technologies and teaching them to other people. We took and combined our experiences to deliver you the best possible MERN stack course you can find out there.In detail, this course offers:


Brief refreshers on the core technologies (React, Node, Express, MongoDB)
Project sections for each technology where the theoretic knowledge is applied
Detailed theory about the MERN stack and the different ways of combining the technologies
A complete course project where all the technologies come together into one application
File (image) upload in both React.js (sending the file) and Node/ Express (receiving the file)
User authentication (signup + login)
User authorization (controlling access to certain resources)
Detailed deployment instructions - including different ways of deploying the application
Tons of quizzes and extra resources!

By the end of this course, you'll feel comfortable building your own MERN stack applications and you can build up on all the knowledge taught throughout this course to dive into your own projects and use-cases.18+
hours



200+
lessonsCourse Prerequisites

Basic knowledge about ReactJS is required

ReactJS Hooks knowledge is recommended

Basic knowledge about Node, Express and MongoDB is recommended but not a must-have

NO expert React knowledge or MERN knowledge is required


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",18:43:59,Academind
"Ionic + React - Build Cross-Platform Apps (Web, Android, Ios)",,$34,https://academind.teachable.com/p/ionic-react-build-cross-platform-apps-web-android-ios,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/H4SjGprqRRiHnGtJb4RZ,Build Cross-Platform Applications With React.Js And The Ionic Framework.,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",Build cross-platform applications with React.js and the Ionic framework.,"Ionic is one of the most exciting technologies you can learn at the moment - it enables you to use one codebase (written in HTML, JS and CSS) to build and ship apps as normal (progressive) web apps as well as real native mobile apps for iOS and Android. This course teaches you the latest version of Ionic from scratch with no prior knowledge about it assumed.

React.js allows you to create awesome web applications powered by TypeScript or JavaScript. Wouldn't it be great to use that React knowledge to build web applications that can be compiled into native mobile apps, running on any iOS or Android device? And also publish them as progressive web apps at the same time.

The Ionic framework allows you to do just that! Use your existing React, HTML, JS and CSS knowledge and build your native mobile app with that! Ionic offers a lot of beautiful components (which you'll learn about in this course) that can be used to compose native-like user interfaces.

Capacitor (another tool provided by the Ionic team) will handle the rest as it's used to then build a native mobile app for iOS/ Android based on your code. This allows you to focus on the things you know and release your application on all possible devices (desktop and mobile) without having to learn thousands of different languages! Indeed, with Ionic, you can use one codebase to ship three different apps (iOS, Android, web).No wonder that hybrid frameworks like Ionic are extremely popular and in high demand!

My name is Maximilian Schwarzmüller and I'm a freelance web developer as well as creator of many top-rated courses - including my ""React.js- The Complete Guide"" course, the bestselling React course you can find!

I love creating awesome web applications and it simply is amazing to now use that knowledge and build native mobile apps with it, too!

This course takes your from zero to published app, taking a very practice-orientated route. You'll a realistic app (where users can create and book events) throughout the course, learning about the basics of Ionic, its rich component library, how to fetch and handle user input, how to store data and access native device features and much more!

You'll dive into all important Ionic components as well as concepts like navigation (tabs, sidemenus), user input, native device features (e.g. camera), storage, http, authentication!

And since building apps is only part of the fun, you'll of course also learn how to run your apps either in the browser, on an emulator or on your own device!What exactly are you going to learn then?


How to set up your Ionic projects
How Ionic works behind the scenes
The basics about Ionic - How navigation works, how your project is structured and you use its rich component library
How to use the many beautiful components Ionic ships with
How to use different kinds of navigation concepts: ""Back""-button-navigation, tabs and sidemenus
How to show modals, alerts, toasts and many, many more useful UI components
How to test the app in the browser, on emulators or real devices
How to fetch and handle user input through inputs, textfields, dropdowns, dialogs etc.
How to access the local device storage and native device features like the camera

So much more ... like styling and theming your app
Finally, you'll learn how to configure your app and publish it to the App Store or Google Play Store (or as a progressive web app)

Does this sound great?

I can't wait to welcome you in this course!13+
hours



100+
lessonsCourse Prerequisites

Basic JavaScript knowledge is required

React.js knowledge (Basics + React Hooks) is required

NO prior Ionic knowledge required


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",12:51:01,Academind
Javascript Data Structures - The Fundamentals,,$29,https://academind.teachable.com/p/javascript-datastructures-the-fundamentals,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/lsEv1b6TmSi4f1BRAoNZ,"Learn All The Core Basics About Js Data Structures - Both Built-In Ones Like Maps, Sets Or Arrays As Well As Custom Ones Like Linked Lists, Trees, Graphs Etc.",Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.","Learn all the core basics about JS data structures - both built-in ones like Maps, Sets or Arrays as well as custom ones like Linked Lists, Trees, Graphs etc.","When working with JavaScript, you'll work with data structures all the time.

That includes built-in ones like Arrays, Objects, Maps or Sets but - especially if you dive deeper into JavaScript - also custom data structures like Linked Lists, Trees or Graphs.

This course covers it all!

We'll recap the basic built-in data structures to understand how they work and when to use them, before we then explore important custom data structures.

In detail, this course covers the following structures:


Arrays (built-in)
Objects (built-in)
Sets (built-in)
Maps (built-in)
Linked Lists (custom)
Stacks (custom)
Queues (custom)
Hash Tables (custom)
Basic Trees (custom)
Binary Search Trees (BST, custom)
AVL Trees (custom)
Priority Queues (custom)
Heaps (custom)
Graphs (customYou will learn how those different data structures work, when they might be helpful, how to build them and of course we'll also explore their time complexity (Big O notation)!

You'll get both the theory as well as practical examples to ensure that you fully understand all those key structures and you're able to work with them on your own after you finished this course - no matter if you need them for your next project or simply to ace an upcoming job interview!

To get the most out of this course, you should ensure that you have a basic understanding of JavaScript algorithms and that you especially understand the concept of time complexity and ""Big O"" notation. In case you're missing those prerequisites right now, you can explore our Algorithms course!9+
hours



90+
lessonsCourse Prerequisites

Algorithm basics are required - especially knowledge about time complexity (e.g. take our Algorithms course)


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",9:07:24,Academind
Javascript Algorithms - The Fundamentals,,$29,https://academind.teachable.com/p/javascript-algorithms-the-fundamentals,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/TWqzpMxDQ62UQUwxsGAA,"Learn All The Core Basics And Fundamentals About Javascript Algorithms, Dive Into Tons Of Examples And Get A Plan For Building And Measuring Algorithms.",Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.","Learn all the core basics and fundamentals about JavaScript algorithms, dive into tons of examples and get a plan for building and measuring algorithms.","Algorithms are a complex, yet vital part of programming and of being a developer!

Being able to come up with algorithms (= being able to solve problems) is extremely important, not only for interviews but also in general to grow as a developer.

But diving into algorithms and finding the best possible solution for a given problem can be a daunting task.

And even once you have found a solution, it might not be the best one.

This course helps you with all of that!

You will learn what algorithms are, which kinds of algorithms you may find out there and most importantly, you will learn how to derive algorithms and how to judge as well as compare them!

We will dive into this complex topic step by step and by the end of the course, you will have a very strong foundation and all the core fundamental concepts you need to build and optimize your own algorithms for any problem out there!This course introduces you to algorithms all related important concepts step by step.

In detail, you will learn:


What algorithms are
Why algorithms are important
How to judge and compare algorithms
All about ""Time Complexity"", ""Space Complexity"" and the ""Big O"" notation
Different time complexities and how to derive them
How to use recursion with algorithms
Optimization approaches like ""Dynamic Programming""
All core concepts you need for math, search, sorting and sets/ array algorithms
Different kinds of solving problems (e.g. greedy approaches, dynamic approaches)

By the end of the course, you will have a very solid foundation and a plan on how to tackle any problem and find a fitting algorithm! You will be well-prepared to dive deeper and explore more problems and algorithms.The different concepts are taught step by step with small, focused code examples and all building blocks being visualized on slides to make understanding them as easy as possible!

This course is for you if you want to take the next step as a developer, if you want to ace interviews or if you simply want to grow as a developer.

It assumes no prior algorithm knowledge but you of course need solid programming fundamentals - preferably in JavaScript, the programming language used in this course.9+
hours



90+
lessonsCourse Prerequisites

Basic programming experience (preferably in JavaScript) is required


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",9:13:38,Academind
Academind,,,https://academind.teachable.com/courses?page=2,,,,,,Learn everything you need to know about web and mobile app development. From the core basics all the way up to advanced topics - we got it all! Fully up-to-date and continuously growing!,Learn everything you need to know about web and mobile app development. From the core basics all the way up to advanced topics - we got it all! Fully up-to-date and continuously growing!,,,Academind
Codecademy Python Walkthrough And Tutorial Series (2016 New),,FREE,https://cleverprogrammer.teachable.com/p/python-walkthrough-and-tutorial-series-2016,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/7chUfTG4QG2EMOPGFvNH,Learn Python Through Codecademy Series,Rafeh Qazi,https://www.filepicker.io/api/file/9GCYH9YQnyqu4Ymwmzu9,"I've been a full-stack developer successfully making a 6-figure income for multiple years as a freelancer. Now, I'm a CEO at Clever Programmer and help other people in kicking ass at becoming a profitable developer.",Learn Python through Codecademy Series,"This is meant to guide you through the Codecademy python part and it also to help you get a much better understanding of the code that you to write according to the instructions on CodeCademy.com. This will help you understand many programming concepts and the concepts that are tricky, I open up an interactive prompt and I will also ask you questions along the way to keep it more interactive for you. I believe teaching only works when you actively engage. 



The target audience is beginners or developers looking to pick up Python. I also emphasize the importance of writing good code and I go through the first part really fast.



I will literally be going through every single thing and breaking it down for you so there is nothing for you that would be scary. You can watch me do it and you can simply follow along and you will learn ALL the basics. I swear I wish something like this was out there when I started learning because everyone else explains things in such a complicated way and makes it so boring! I honestly think programming is based upon exploration and creativity rather than some mathematical/logical genius frame of mind! I spent a lot of hard work in making this so I hope you guys enjoy and learn something out of it while having fun! This is targeted towards beginners, for developers looking to learn python, or for individuals looking for a refresher on basics in computer programming!!



You can use this book to help supplement your study and get through this Python course. I am recommending it only because I have personally used when I was starting to learn computer science using Python. 

Python Programming: Introduction to Computer Science by John Zelle","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",9:46:25,Clever Programmer
COCOA TWINS ONE TO ONE DESIGN AND MINDSET COACHING | Cocoa Twins®,,,https://ct-learning-series.teachable.com/p/cocoa-twins-one-to-one-design-and-mindset-coaching1,,,,,,,,,,Cocoa Twins® Design Academy and Creative Coaching
2023 | Cocoa Twins Mindset Matters | Cocoa Twins® Design Academy and,,,https://ct-learning-series.teachable.com/p/2023-cocoa-twins-mindset-matters,,,,,,,,,,Cocoa Twins® Design Academy and Creative Coaching
Creative AI: Generating Coloring Pages Using ChatGPT and MidJourney,,,https://ct-learning-series.teachable.com/p/creative-ai-generating-coloring-pages-using-chatgpt-and-midjourney,,,,,,For Beginner and Intermediate Users of Both ChatGPT and MidJourney,For Beginner and Intermediate Users of Both ChatGPT and MidJourney,,,Cocoa Twins® Design Academy and Creative Coaching
